Наименование,IMO,Ледовый класс,"Скорость, уз",Пункт начала плавания,Пункт окончания плавания,Дата и время начала плавания,Дата и время окончания плавания
Штурман Альбанов,9752084,Arc7,15,точка в Баренцевом море,Саббета 3,01.01.21 23:30,05.01.21 5:00
Штурман Альбанов,9752084,Arc7,15,Саббета 3,точка в Баренцевом море,06.01.21 11:00,10.01.21 18:00
Штурман Альбанов,9752084,Arc7,15,точка в Баренцевом море,Саббета 3,12.01.21 18:00,16.01.21 22:00
Штурман Альбанов,9752084,Arc7,15,Саббета 3,точка в Баренцевом море,17.01.21 6:00,21.01.21 20:45
Штурман Альбанов,9752084,Arc7,15,точка в Баренцевом море,Саббета 3,21.01.21 9:00,26.01.21 22:00
Штурман Альбанов,9752084,Arc7,15,Саббета 3,точка в Баренцевом море,28.01.21 1:00,02.02.21 19:00
Штурман Кошелев,9759939,Arc7,15,Саббета 3,точка в Баренцевом море,02.01.21 20:30,06.01.21 7:00
Штурман Кошелев,9759939,Arc7,15,точка в Баренцевом море,Саббета 3,07.01.21 19:00,11.01.21 3:20
Штурман Кошелев,9759939,Arc7,15,Саббета 3,точка в Баренцевом море,13.01.21 16:00,17.01.21 14:00
Штурман Кошелев,9759939,Arc7,15,точка в Баренцевом море,Саббета 3,17.01.21 13:00,21.01.21 16:20
Штурман Кошелев,9759939,Arc7,15,Саббета 3,точка в Баренцевом море,22.01.21 7:30,26.01.21 19:00
Штурман Кошелев,9759939,Arc7,15,точка в Баренцевом море,Саббета 3,28.01.21 2:00,03.02.21 19:00
Лагорта,9194012,Arc5,15,точка в Баренцевом море,Саббета 3,27.12.20 23:00,07.01.21 17:00
Лагорта,9194012,Arc5,15,Саббета 3,точка в Баренцевом море,20.01.21 15:00,30.01.21 22:00
Михаил Лазарев,9837547,Arc7,15,Саббета 2,точка в Баренцевом море,14.01.21 22:00,18.01.21 10:00
Михаил Лазарев,9837547,Arc7,15,точка в Баренцевом море,Саббета 2,19.01.21 12:00,23.01.21 12:00
Юрий Кучиев,9804033,Arc7,14,Саббета 1,точка в Баренцевом море,07.01.21 0:00,10.01.21 14:00
Юрий Кучиев,9804033,Arc7,14,точка в Баренцевом море,Саббета 1,26.01.21 22:00,31.01.21 20:00
Эдуард Толль,9750696,Arc7,19,точка в Баренцевом море,Саббета 1,01.01.21 17:30,04.01.21 5:00
Эдуард Толль,9750696,Arc7,19,Саббета 1,точка в Баренцевом море,07.01.21 17:00,11.01.21 12:30
